Participant ID,Career Interest,ISCO-08,ISCO Title,Mapping Confidence,ILO GenAI Exposure Category,Exposure Ordinal (Analytical Recode),Conventional Capability Index,AI/Data Capability Index,Capability Gap
TGN-000316,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,95.4167,75.9,19.5167
TGN-000311,Full-stack Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,99.1833,81.725,17.4583
TGN-001594,AI Consulting,2511,Systems analysts,Medium,Exposed: Gradient 2,3,86.7167,69.9,16.8167
TGN-000089,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,82.9167,72.625,10.2917
TGN-001463,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,94.5833,79.725,14.8583
TGN-000417,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,90.5333,69.525,21.0083
TGN-000187,Full-stack Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,96.2167,79.55,16.6667
TGN-000340,Frontend Developer,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,53.85,37.975,15.875
TGN-000477,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,85.1667,67.4,17.7667
TGN-000998,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,87.8833,67.3,20.5833
TGN-001268,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,96.6167,74.925,21.6917
TGN-000720,Mobile App Development,2514,Applications programmers,High,Exposed: Gradient 3,4,81.05,66.15,14.9
TGN-001320,Full-stack Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,87.75,68.9,18.85
TGN-000709,Business Analysis,2421,Management and organization analysts,High,Exposed: Gradient 2,3,75.2333,54.225,21.0083
TGN-001396,Backend Developer,2512,Software developers,High,Exposed: Gradient 3,4,97.6833,77.7,19.9833
TGN-000328,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,84.7333,62.35,22.3833
TGN-001332,Business Analysis,2421,Management and organization analysts,High,Exposed: Gradient 2,3,89.8167,75.6,14.2167
TGN-000885,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,88.2333,65.725,22.5083
TGN-001484,AI Engineering,2512,Software developers,Medium,Exposed: Gradient 3,4,96.1667,80.525,15.6417
TGN-001171,Business Analysis,2421,Management and organization analysts,High,Exposed: Gradient 2,3,81.6167,63.175,18.4417
TGN-001475,Social Media Management,2431,Advertising and marketing professionals,Medium,Exposed: Gradient 3,4,87.5167,77.15,10.3667
TGN-000095,Business Analysis,2421,Management and organization analysts,High,Exposed: Gradient 2,3,96.8333,75.625,21.2083
TGN-000619,Cybersecurity Analysis,2529,Database and network professionals not elsewhere classified,High,Exposed: Gradient 2,3,60.7167,58.975,1.7417
TGN-000779,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,97.7667,88.525,9.2417
TGN-000816,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,90.7833,71.5,19.2833
TGN-000795,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,88.8333,70.675,18.1583
TGN-000005,Business Operation Manager,1219,Business services and administration managers not elsewhere classified,High,Exposed: Gradient 2,3,86.5333,69.5,17.0333
TGN-001531,Technical Writing,2642,Journalists,Medium,Exposed: Gradient 3,4,63.7667,48.8,14.9667
TGN-001485,Web Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,94.7333,70.225,24.5083
TGN-001081,Graphic Design,2166,Graphic and multimedia designers,High,Exposed: Gradient 2,3,76.8,66.525,10.275
TGN-001343,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,93.4333,78.65,14.7833
TGN-000870,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,89.15,71.4,17.75
TGN-000859,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,93.5833,78.625,14.9583
TGN-000694,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,91.2833,75.4,15.8833
TGN-000234,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,75.1167,71.375,3.7417
TGN-000227,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,90.7333,72.625,18.1083
TGN-000251,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,94.1,70.825,23.275
TGN-000545,Graphic Design,2166,Graphic and multimedia designers,High,Exposed: Gradient 2,3,87.1333,67.6,19.5333
TGN-000093,Product Management,1223,Research and development managers,Medium,Minimal Exposure,1,97.15,81.9,15.25
TGN-000125,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,99.5333,79.4,20.1333
TGN-000735,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,96.4667,81.45,15.0167
TGN-001072,Social Media Management,2431,Advertising and marketing professionals,Medium,Exposed: Gradient 3,4,97.1167,78.55,18.5667
TGN-001284,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,81.15,56.35,24.8
TGN-001277,Data Analysis,2511,Systems analysts,Medium,Exposed: Gradient 2,3,86.4167,64.1,22.3167
TGN-000894,Business Analysis,2421,Management and organization analysts,High,Exposed: Gradient 2,3,94.2,65.875,28.325
TGN-000711,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,94.6667,79.525,15.1417
TGN-001261,Project Management,2422,Policy administration professionals,Medium,Minimal Exposure,1,96.2,79.225,16.975
TGN-001175,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,98.6333,84.85,13.7833
TGN-001177,Data Analysis,2511,Systems analysts,Medium,Exposed: Gradient 2,3,95.2833,80.925,14.3583
TGN-001426,Business Analyst,2421,Management and organization analysts,High,Exposed: Gradient 2,3,92.5167,69.525,22.9917
TGN-001424,Operations Manager,1219,Business services and administration managers not elsewhere classified,High,Exposed: Gradient 2,3,91.0667,69.475,21.5917
TGN-001656,Technical Writing,2642,Journalists,Medium,Exposed: Gradient 3,4,97.4833,80.925,16.5583
TGN-000141,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,98.9167,79,19.9167
TGN-000041,Data Analysis,2511,Systems analysts,Medium,Exposed: Gradient 2,3,94.4333,77.225,17.2083
TGN-000426,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,72.15,56.7,15.45
TGN-000952,Web Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,96.5667,83.55,13.0167
TGN-000695,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,88.1333,67.85,20.2833
TGN-000678,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,98.1167,80.325,17.7917
TGN-000344,Full-stack Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,100,80.8,19.2
TGN-000699,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,89.85,72.85,17.0
TGN-000068,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,98.0833,78.65,19.4333
TGN-000057,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,99.4333,83.925,15.5083
TGN-001508,,,,No career interest,,,89.8333,69.025,20.8083
TGN-001226,Graphic Design,2166,Graphic and multimedia designers,High,Exposed: Gradient 2,3,57.3667,51.05,6.3167
TGN-000064,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,94.1167,79.225,14.8917
TGN-001047,Social Media Management,2431,Advertising and marketing professionals,Medium,Exposed: Gradient 3,4,98.15,78.05,20.1
TGN-000272,Social Media Management,2431,Advertising and marketing professionals,Medium,Exposed: Gradient 3,4,77.3333,74.15,3.1833
TGN-000245,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,94.75,68.05,26.7
TGN-000700,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,82.5,71.9,10.6
TGN-001318,Data Analysis,2511,Systems analysts,Medium,Exposed: Gradient 2,3,2.2167,0.575,1.6417
TGN-000330,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,56.9167,52.2,4.7167
TGN-001417,Data Analyst,2511,Systems analysts,Medium,Exposed: Gradient 2,3,77.8667,65.375,12.4917
TGN-001658,Social Media Management,2431,Advertising and marketing professionals,Medium,Exposed: Gradient 3,4,98.7833,78.425,20.3583
TGN-000986,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,98,81.25,16.75
TGN-000955,Data Analyst,2511,Systems analysts,Medium,Exposed: Gradient 2,3,86.0833,77.4,8.6833
TGN-000628,Business Analysis,2421,Management and organization analysts,High,Exposed: Gradient 2,3,95.6167,75.375,20.2417
TGN-001461,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,95.85,76.775,19.075
TGN-001411,UX/UI Designer,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,69.3667,66.15,3.2167
TGN-000139,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,95.9,81.475,14.425
TGN-001211,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,93.7,78.65,15.05
TGN-001685,Content Creation,2641,Authors and related writers,Low,Exposed: Gradient 3,4,97.4,76.95,20.45
TGN-001414,Business Analyst,2421,Management and organization analysts,High,Exposed: Gradient 2,3,95.35,73.875,21.475
TGN-000157,Web Developer,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,84.6667,71.35,13.3167
TGN-001427,Product Designer,2163,Product and garment designers,High,Minimal Exposure,1,24.8667,21.425,3.4417
TGN-000658,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,94.4833,80.125,14.3583
TGN-000937,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,98.3667,88.2,10.1667
TGN-001407,Academic Researcher,2310,University and higher education teachers,Medium,Minimal Exposure,1,36.5,28.175,8.325
TGN-000124,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,88.4333,67.975,20.4583
TGN-001383,Business Analyst,2421,Management and organization analysts,High,Exposed: Gradient 2,3,73.1333,40.85,32.2833
TGN-000962,Data Analysis,2511,Systems analysts,Medium,Exposed: Gradient 2,3,97.6167,87.05,10.5667
TGN-000542,Business Analyst,2421,Management and organization analysts,High,Exposed: Gradient 2,3,69.3833,53.525,15.8583
TGN-001270,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,93.9833,74.675,19.3083
TGN-001115,Business Analyst,2421,Management and organization analysts,High,Exposed: Gradient 2,3,98.9,78.875,20.025
TGN-001345,Data Analyst,2511,Systems analysts,Medium,Exposed: Gradient 2,3,91.4,75.2,16.2
TGN-001331,Financial Analyst,2413,Financial analysts,High,Exposed: Gradient 4,5,87.7333,65.625,22.1083
TGN-001257,Project Management,2422,Policy administration professionals,Medium,Minimal Exposure,1,38.6333,41,-2.3667
TGN-001409,Frontend Developer,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,83.4667,72.725,10.7417
TGN-000485,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,95.9,80.65,15.25
TGN-000935,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,98,79.675,18.325
TGN-000668,Product Manager,1223,Research and development managers,Medium,Minimal Exposure,1,82.65,64.175,18.475
TGN-000690,Cybersecurity Analysis,2529,Database and network professionals not elsewhere classified,High,Exposed: Gradient 2,3,94.0833,75.725,18.3583
TGN-000296,Web Developer,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,52.6667,41.625,11.0417
TGN-001136,Full-stack Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,94.7333,72.775,21.9583
TGN-001389,Business Analyst,2421,Management and organization analysts,High,Exposed: Gradient 2,3,87.5,72.5,15
TGN-001369,Accountant,2411,Accountants,High,Exposed: Gradient 3,4,94.3,72.05,22.25
TGN-001362,Web Developer,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,89.4667,67.75,21.7167
TGN-000250,Full-stack Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,95.0667,80.125,14.9417
TGN-001361,Web Developer,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,97.2333,79.225,18.0083
TGN-001360,Accountant,2411,Accountants,High,Exposed: Gradient 3,4,96.7333,76.9,19.8333
TGN-001355,Graphic Designer,2166,Graphic and multimedia designers,High,Exposed: Gradient 2,3,89.9333,63.625,26.3083
TGN-001337,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,87.2333,67.425,19.8083
TGN-000691,Project Management,2422,Policy administration professionals,Medium,Minimal Exposure,1,92.7,78.75,13.95
TGN-001005,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,71,48.525,22.475
TGN-001367,Social Media Manager,2431,Advertising and marketing professionals,Medium,Exposed: Gradient 3,4,95.3,74.9,20.4
TGN-001595,Customer Service Professional,4225,Enquiry clerks,High,Exposed: Gradient 3,4,89.5167,71.65,17.8667
TGN-001672,UX/UI Designer,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,85.6333,64.725,20.9083
TGN-000020,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,94.8333,76.675,18.1583
TGN-000444,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,93.95,74.225,19.725
TGN-001703,Data Analyst,2511,Systems analysts,Medium,Exposed: Gradient 2,3,90.6,76.1,14.5
TGN-001220,Software Engineering,2512,Software developers,High,Exposed: Gradient 3,4,87.0167,81.225,5.7917
TGN-000035,Business Analysis,2421,Management and organization analysts,High,Exposed: Gradient 2,3,91.8333,67.325,24.5083
TGN-000972,IT Business Analyst,2511,Systems analysts,High,Exposed: Gradient 2,3,75.5667,52.05,23.5167
TGN-000810,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,83.3833,66.45,16.9333
TGN-001644,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,90.6833,73.9,16.7833
TGN-000007,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,73.7,69.35,4.35
TGN-000767,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,94.2167,76.475,17.7417
TGN-000759,Project Management,2422,Policy administration professionals,Medium,Minimal Exposure,1,92,79.325,12.675
TGN-000826,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,87.9,62.45,25.45
TGN-000812,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,91.2167,71.425,19.7917
TGN-000743,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,99.75,80.225,19.525
TGN-000746,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,94.25,80.125,14.125
TGN-000807,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,96.3167,76.975,19.3417
TGN-001560,,,,No career interest,,,98.6,80.8,17.8
TGN-001541,Social Media Management,2431,Advertising and marketing professionals,Medium,Exposed: Gradient 3,4,96.0333,69.875,26.1583
TGN-000763,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,92.5,73.325,19.175
TGN-000764,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,98.8667,77.1,21.7667
TGN-000766,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,92.5333,73.225,19.3083
TGN-000090,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,52.4667,35.125,17.3417
TGN-000075,Business Analysis,2421,Management and organization analysts,High,Exposed: Gradient 2,3,43.4167,38.175,5.2417
TGN-000076,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,86.4,63,23.4
TGN-000081,Business Analysis,2421,Management and organization analysts,High,Exposed: Gradient 2,3,98.4833,78.65,19.8333
TGN-000813,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,86.6167,59.475,27.1417
TGN-000786,Software Engineering,2512,Software developers,High,Exposed: Gradient 3,4,95.1833,75.675,19.5083
TGN-000029,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,85.2667,75.475,9.7917
TGN-000030,Business Analysis,2421,Management and organization analysts,High,Exposed: Gradient 2,3,89.4,72.75,16.65
TGN-001412,Small Business Owner,1120,Managing directors and chief executives,Low,Minimal Exposure,1,87.6167,64.6,23.0167
TGN-001415,Data Analyst,2511,Systems analysts,Medium,Exposed: Gradient 2,3,98.1,83.8,14.3
TGN-000146,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,98.3667,76.95,21.4167
TGN-000135,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,90.05,70.95,19.1
TGN-000160,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,95.4667,78.3,17.1667
TGN-000158,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,67.7667,53.025,14.7417
TGN-000147,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,95.6,73.875,21.725
TGN-000094,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,80.2333,68.85,11.3833
TGN-000933,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,97.7833,84.975,12.8083
TGN-000422,Full-stack Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,84.5833,65.1,19.4833
TGN-001213,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,79.85,64.825,15.025
TGN-001218,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,91.9167,75.375,16.5417
TGN-000040,Cybersecurity Analysis,2529,Database and network professionals not elsewhere classified,High,Exposed: Gradient 2,3,69.4333,68.225,1.2083
TGN-001697,Business Analysis,2421,Management and organization analysts,High,Exposed: Gradient 2,3,96.5667,79.075,17.4917
TGN-000002,Business Analysis,2421,Management and organization analysts,High,Exposed: Gradient 2,3,91.35,68.15,23.2
TGN-001675,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,85.7333,62.45,23.2833
TGN-001178,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,89.85,63.9,25.95
TGN-000459,Social Media Management,2431,Advertising and marketing professionals,Medium,Exposed: Gradient 3,4,79.1,64.675,14.425
TGN-000464,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,79.05,64.825,14.225
TGN-000666,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,93.8667,79.7,14.1667
TGN-000653,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,89.0167,74.975,14.0417
TGN-000655,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,48.05,42.7,5.35
TGN-000944,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,93.3,73.575,19.725
TGN-000945,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,81.1667,67.575,13.5917
TGN-000109,Data Analysis,2511,Systems analysts,Medium,Exposed: Gradient 2,3,92.0333,66.475,25.5583
TGN-000511,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,51.2833,46.05,5.2333
TGN-000513,Data Analysis,2511,Systems analysts,Medium,Exposed: Gradient 2,3,88.1167,65.575,22.5417
TGN-001142,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,88.4833,66.5,21.9833
TGN-000504,Cybersecurity Analysis,2529,Database and network professionals not elsewhere classified,High,Exposed: Gradient 2,3,77.6333,69.225,8.4083
TGN-000491,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,89.4,63.3,26.1
TGN-000495,Software Engineering,2512,Software developers,High,Exposed: Gradient 3,4,95.5333,77.7,17.8333
